LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER
53239954	53239954	101	1	33677718	174	113	103	0	2016-06-19 00:00:00	10	0	0	0	251522	53239954	26698721	197168	33677718	32	PAY	\N	\N	528	419165
63078818	63078818	101	1	33756749	174	113	103	0	2016-07-29 10:35:20	15	0	0	0	251522	63078818	26777704	197168	33756749	32	PAY	\N	\N	540	1848
65190624	65190624	101	1	64818280	174	113	103	0	2016-10-07 09:00:52	15	0	0	0	251522	65190624	28266770	197168	64818280	32	PAY	\N	\N	540	581679
68698921	68698921	101	1	67421689	174	113	103	0	2017-03-16 14:01:07	615	0	0	0	251522	68698921	29608494	197168	67421689	32	PAY	\N	\N	540	2120416
69725444	69725444	101	1	69297657	174	113	103	0	2017-05-08 16:57:39	374	0	0	0	251522	69725444	30592502	197168	69297657	32	PAY	\N	\N	528	2585084
57449061	57449061	101	1	17709010	174	113	103	0	2011-03-12 00:00:00	285	0	0	0	251522	57449061	10742132	197168	17709010	33	PAY	\N	\N	540	0
51906085	51906085	101	1	17776829	174	113	103	0	2011-03-11 00:00:00	390	0	0	0	251522	51906085	10809737	197168	17776829	33	PAY	\N	\N	531	240236229999
40479542	40479542	101	1	17855023	174	113	103	0	2011-04-20 00:00:00	330	0	0	0	251522	40479542	10887878	197168	17855023	33	PAY	\N	\N	528	400213
50825199	50825199	101	1	19652037	174	113	103	0	2012-01-20 00:00:00	335	0	0	0	251522	50825199	12683079	197168	19652037	22	PAY	\N	\N	551	398701
42073278	42073278	101	1	21472575	174	113	103	0	2012-08-14 00:00:00	20	0	0	0	251522	42073278	14501773	197168	21472575	22	PAY	\N	\N	551	793220
41934175	41934175	101	1	21626273	174	113	103	0	2012-09-15 00:00:00	25	0	0	0	251522	41934175	14655321	197168	21626273	33	PAY	\N	\N	540	0
56043876	56043876	101	1	23181654	174	113	103	0	2013-04-08 00:00:00	320	0	0	0	251522	56043876	16209510	197168	23181654	33	PAY	\N	\N	531	240236009999
52728676	52728676	101	1	23407379	174	113	103	0	2013-05-24 00:00:00	275	0	0	0	251522	52728676	16435067	197168	23407379	33	PAY	\N	\N	531	240236149999
