AGR_ID|open_rows|open_amt
93972|9|68652.00
123057|6|68598.72
127922|330|68594.70
216581|27|68490.00
92873|27|68202.00
285229|552|68176.32
196503|552|67914.24
97528|24|67782.00
90604|540|67748.76
224803|576|67677.84
325708|18|67599.00
365562|384|67593.36
1084774|28|67507.66
201200|99|67469.76
420210|432|66999.60
100160|390|66957.30
148063|18|66906.00
91204|234|66640.50
396911|528|66506.88
305482|30|66300.00
149792|24|66300.00
456711|42|66030.00
142555|690|65949.00
96339|726|65875.26
253458|504|65779.20
225238|480|65631.84
138586|42|65508.00
431738|108|65501.88
42959|540|64717.11
251938|12|64704.00
162693|78|64638.00
17721|528|64384.08
238996|690|64210.80
326903|528|64145.28
328064|456|63911.52
354967|312|63574.08
66943|24|63552.00
115007|24|63384.00
289389|504|62971.92
271738|552|62866.80
333108|18|62784.00
17808|456|62718.48
620413|36|62670.68
244074|21|62572.98
214860|27|62352.00
400987|36|62346.00
275774|36|62034.00
239780|6|62001.00
309927|27|61776.00
80027|63|61524.00
127392|726|61465.47
198639|18|61422.00
228874|9|61137.00
325309|234|60691.86
489496|8|60599.74
252917|528|60564.24
392288|480|60550.56
98104|690|60434.40
34598|30|60294.00
272385|528|60129.12
13892|483|59936.16
400328|504|59908.56
458667|24|59790.00
244144|690|59664.30
443548|6|59397.00
116065|24|59334.00
4240|912|59280.00
12246|552|59031.60
409500|36|58995.00
192020|24|58806.00
307407|528|58753.68
239826|540|58752.60
71609|30|58470.00
129940|36|58374.00
1019371|24|58021.98
314893|252|58021.53
140928|15|57858.00
311712|144|57795.12
88458|18|57744.00
581160|16|57662.00
148376|80|57531.45
1039104|20|57436.58
226226|33|57360.00
356096|18|57210.00
133505|24|57090.00
125648|30|57024.00
52647|33|56992.02
131733|42|56970.00
287577|552|56954.40
244192|156|56874.12
430771|408|56814.00
71019|24|56598.00
450535|12|56550.00
391287|24|56442.00
222886|252|56053.41
67422|216|55985.58
89410|759|55946.88
43905|24|55878.00
182024|552|55627.44
425916|480|55532.88
114562|18|55380.00
298575|456|55314.24
205919|24|55284.00
57198|528|55145.28
172628|504|55104.72
92819|456|54984.96
304683|456|54908.64
123770|20|54835.00
123125|132|54790.08
423462|18|54534.00
206388|12|54456.00
85504|24|54348.00
81769|30|54156.00
148749|30|54078.00
855408|30|53817.24
32884|384|53670.24
239951|30|53526.00
513309|30|53478.00
259196|504|53334.72
342017|12|53298.00
244279|828|53244.00
229601|552|53228.64
353690|231|53180.19
79382|42|53142.00
60707|6|53124.00
294584|108|53002.62
371425|36|52992.00
267950|456|52881.60
174940|660|52520.10
115648|24|52506.00
200409|12|52448.00
146570|24|52320.00
303754|456|52318.56
517222|36|51741.00
165399|12|51624.00
341545|30|51594.00
496826|18|51474.00
213810|552|51450.48
134129|36|51444.00
309758|384|51437.28
162060|36|51414.66
68766|36|51288.00
518259|12|51132.00
520713|12|50994.00
52767|24|50964.00
211345|30|50928.00
190522|18|50664.00
403543|12|50628.00
151606|198|50608.98
195500|24|50598.00
172531|18|50508.00
115834|24|50456.16
101602|18|50046.00
113648|660|50029.20
134279|18|49830.00
78214|480|49517.52
353325|264|49514.16
92323|726|49452.81
466452|30|49440.00
84097|528|49028.88
72323|54|49022.76
506953|18|48936.00
494039|216|48754.98
64216|66|48714.00
270818|30|48606.00
57633|30|48474.00
150171|18|48444.00
215533|252|48348.72
214001|24|47988.00
365087|18|47982.00
378736|27|47862.00
175248|36|47850.00
136329|24|47772.00
76648|576|47735.04
173311|3|47598.00
156162|18|47352.00
511128|16|47241.46
171590|24|47226.00
95991|24|47208.00
331583|624|46903.74
122427|312|46850.40
109044|27|46782.00
262758|528|46701.12
64403|12|46692.00
127129|12|46680.00
60478|24|46662.00
162987|24|46662.00
223548|552|46637.28
322868|336|46540.08
279100|288|46484.64
448128|12|46224.00
310602|252|46096.38
178983|6|45732.00
286744|36|45660.00
273720|408|45460.80
61282|18|45450.00
144964|24|45438.00
149309|690|45298.20
119429|198|45210.78
123123|108|45111.18
108075|216|45039.24
134566|18|44958.00
370801|18|44844.00
510208|96|44792.58
189614|42|44568.00
219571|18|44376.00
80240|12|44376.00
161176|24|44292.00
223891|336|44193.48
113688|18|44181.00
220544|36|43998.00
157860|12|43980.00
116960|150|43950.30
273533|528|43857.60
242717|456|43846.32
83413|12|43458.00
160562|6|43272.00
77052|18|43242.00
111031|528|43230.96
306716|24|43188.00
156332|12|43182.00
159976|18|43020.00
195357|216|42967.44
291543|360|42906.48
133688|12|42906.00
110381|6|42887.76
53240|195|42884.85
167151|24|42816.00
87040|231|42790.23
160808|24|42780.00
212855|144|42632.52
131686|12|42594.00
98356|336|42543.36
159622|18|42444.00
455714|24|42432.00
261297|12|42378.00
249063|252|42358.26
345828|18|42348.00
219670|12|42240.00
802830|24|42227.94
283470|528|42166.56
459354|12|42060.00
470350|36|42006.00
229989|27|41985.00
60930|21|41931.00
109580|231|41869.80
274694|216|41835.24
643030|16|41788.38
73728|77|41748.63
109863|27|41616.00
694649|12|41544.00
156338|36|41544.00
