LREF	IOCODE	FICHENO	DATE_	DUEDATE	TYPE	CLIENTREF	TLTOTAL	CURID	CURTOTAL	EXPLAIN	CANCELED	OWNERREF	OWNERTYPE	TAX	DV	GRANDTOTAL	PRINTCOUNT	PAYABLETOTAL	CLOSED	FITNO	BN_TYPE	AMOUNT	PERIOD	ADDDATE	ADDUSER	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_ACTION_TYPE_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	OV_KIND
63947417	1	TAHSILAT	2016-08-15 15:53:13	2016-08-15 15:53:13	101	251522	0.43	160	0.43	\N	0	197168	91	0	0	0.43	0	0.43	1	136283	1	0.43	201608	2016-08-15 15:53:13	10800	63947417	27888715	6	197168	63947404	TAH_INV
63947419	1	TAHSILAT	2016-08-15 15:53:13	2016-08-15 15:53:13	101	251522	14.57	160	14.57	\N	0	197168	91	0	0	14.57	0	14.57	1	136283	1	14.57	201608	2016-08-15 15:53:13	10800	63947419	27888715	6	197168	63947404	TAH_INV
65190622	1	TAHSILAT	2016-10-07 09:00:49	2016-10-07 09:00:49	101	251522	6.49	160	6.49	\N	0	197168	91	0	0	6.49	0	6.49	1	136283	1	6.49	201608	2016-10-07 09:00:49	10800	65190622	27888715	32	197168	63947404	TAH_INV
68698922	1	TAHSILAT	2017-03-16 14:01:08	2017-03-16 14:01:08	101	251522	389	160	389	\N	0	197168	91	0	0	389	0	389	1	136283	1	389	201612	2017-03-16 14:01:08	10800	68698922	29277372	32	197168	66772613	TAH_INV
40345771	1	TAHSILAT	2011-02-28 00:00:00	2011-02-28 00:00:00	101	251522	350	160	350	\N	0	197168	91	0	0	350	0	350	1	136283	1	350	201101	2011-02-28 00:00:00	10001	40345771	10458275	7	197168	17424368	TAH_INV
60940043	1	TAHSILAT	2011-10-11 13:57:26	2011-10-11 13:57:26	101	251522	9.9	160	9.9	\N	0	197168	91	0	0	9.9	0	9.9	1	136283	1	9.9	201110	2011-10-11 13:57:26	10001	60940043	12147565	6	197168	19115898	TAH_INV
60940054	1	TAHSILAT	2011-11-14 10:48:40	2011-11-14 10:48:40	101	251522	5.1	160	5.1	\N	0	197168	91	0	0	5.1	0	5.1	1	136283	1	5.1	201111	2011-11-14 10:48:40	10001	60940054	12476283	6	197168	19444984	TAH_INV
60940061	1	TAHSILAT	2011-11-14 10:48:40	2011-11-14 10:48:40	101	251522	15	160	15	\N	0	197168	91	0	0	15	0	15	1	136283	1	15	201111	2011-11-14 10:48:40	10001	60940061	12476283	6	197168	19444984	TAH_INV
52670293	1	TAHSILAT	2011-12-02 00:00:00	2011-12-02 00:00:00	101	251522	280	160	280	\N	0	197168	91	0	0	280	0	280	1	136283	1	280	201111	2011-12-02 00:00:00	10001	52670293	12476283	33	197168	19444984	TAH_INV
57502461	1	TAHSILAT	2012-07-25 00:00:00	2012-07-25 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201207	2012-07-25 00:00:00	10001	57502461	14107128	22	197168	21077498	TAH_INV
50522704	1	TAHSILAT	2013-10-11 00:00:00	2013-10-11 00:00:00	101	251522	15	160	15	\N	0	197168	91	0	0	15	0	15	1	136283	1	15	201309	2013-10-11 00:00:00	10001	50522704	17577484	33	197168	24550658	TAH_INV
50164553	1	TAHSILAT	2013-12-05 00:00:00	2013-12-05 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201310	2013-12-05 00:00:00	10001	50164553	17673501	32	197168	24646736	TAH_INV
56101083	1	TAHSILAT	2014-06-21 00:00:00	2014-06-21 00:00:00	101	251522	105	160	105	\N	0	197168	91	0	0	105	0	105	1	136283	1	105	201405	2014-06-21 00:00:00	10001	56101083	19605461	32	197168	26580179	TAH_INV
44525016	1	TAHSILAT	2014-06-21 00:00:00	2014-06-21 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201406	2014-06-21 00:00:00	10001	44525016	19803104	32	197168	26777924	TAH_INV
45288648	1	TAHSILAT	2014-12-18 00:00:00	2014-12-18 00:00:00	101	251522	135	160	135	\N	0	197168	91	0	0	135	0	135	1	136283	1	135	201411	2014-12-18 00:00:00	10001	45288648	21375002	32	197168	28350953	TAH_INV
50211452	1	TAHSILAT	2015-01-19 00:00:00	2015-01-19 00:00:00	101	251522	325	160	325	\N	0	197168	91	0	0	325	0	325	1	136283	1	325	201412	2015-01-19 00:00:00	10001	50211452	21568240	32	197168	28544306	TAH_INV
54309304	1	TAHSILAT	2015-07-27 00:00:00	2015-07-27 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201506	2015-07-27 00:00:00	10001	54309304	23280943	32	197168	30257868	TAH_INV
55415851	1	TAHSILAT	2015-07-27 00:00:00	2015-07-27 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201507	2015-07-27 00:00:00	10001	55415851	23341407	32	197168	30318369	TAH_INV
54693471	1	TAHSILAT	2015-12-17 00:00:00	2015-12-17 00:00:00	101	251522	265	160	265	\N	0	197168	91	0	0	265	0	265	1	136283	1	265	201512	2015-12-17 00:00:00	10001	54693471	25019685	32	197168	31997813	TAH_INV
46994896	1	TAHSILAT	2016-02-18 00:00:00	2016-02-18 00:00:00	101	251522	520	160	520	\N	0	197168	91	0	0	520	0	520	1	136283	1	520	201601	2016-02-18 00:00:00	10001	46994896	25298027	32	197168	32276365	TAH_INV
53239954	1	TAHSILAT	2016-06-19 00:00:00	2016-06-19 00:00:00	101	251522	10	160	10	\N	0	197168	91	0	0	10	0	10	1	136283	1	10	201605	2016-06-19 00:00:00	10001	53239954	26698721	32	197168	33677718	TAH_INV
63078818	1	TAHSILAT	2016-07-29 10:35:20	2016-07-29 10:35:20	101	251522	15	160	15	\N	0	197168	91	0	0	15	0	15	1	136283	1	15	201606	2016-07-29 10:35:20	10001	63078818	26777704	32	197168	33756749	TAH_INV
65190624	1	TAHSILAT	2016-10-07 09:00:52	2016-10-07 09:00:52	101	251522	15	160	15	\N	0	197168	91	0	0	15	0	15	1	136283	1	15	201609	2016-10-07 09:00:52	10800	65190624	28266770	32	197168	64818280	TAH_INV
68698921	1	TAHSILAT	2017-03-16 14:01:07	2017-03-16 14:01:07	101	251522	615	160	615	\N	0	197168	91	0	0	615	0	615	1	136283	1	615	201701	2017-03-16 14:01:07	10800	68698921	29608494	32	197168	67421689	TAH_INV
69725444	1	TAHSILAT	2017-05-08 16:57:39	2017-05-08 16:57:39	101	251522	374	160	374	\N	0	197168	91	0	0	374	0	374	1	136283	1	374	201704	2017-05-08 16:57:39	10800	69725444	30592502	32	197168	69297657	TAH_INV
57449061	1	TAHSILAT	2011-03-12 00:00:00	2011-03-12 00:00:00	101	251522	285	160	285	\N	0	197168	91	0	0	285	0	285	1	136283	1	285	201102	2011-03-12 00:00:00	10001	57449061	10742132	33	197168	17709010	TAH_INV
51906085	1	TAHSILAT	2011-03-11 00:00:00	2011-03-11 00:00:00	101	251522	390	160	390	\N	0	197168	91	0	0	390	0	390	1	136283	1	390	201103	2011-03-11 00:00:00	10001	51906085	10809737	33	197168	17776829	TAH_INV
40479542	1	TAHSILAT	2011-04-20 00:00:00	2011-04-20 00:00:00	101	251522	330	160	330	\N	0	197168	91	0	0	330	0	330	1	136283	1	330	201104	2011-04-20 00:00:00	10001	40479542	10887878	33	197168	17855023	TAH_INV
50825199	1	TAHSILAT	2012-01-20 00:00:00	2012-01-20 00:00:00	101	251522	335	160	335	\N	0	197168	91	0	0	335	0	335	1	136283	1	335	201112	2012-01-20 00:00:00	10001	50825199	12683079	22	197168	19652037	TAH_INV
42073278	1	TAHSILAT	2012-08-14 00:00:00	2012-08-14 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201208	2012-08-14 00:00:00	10001	42073278	14501773	22	197168	21472575	TAH_INV
41934175	1	TAHSILAT	2012-09-15 00:00:00	2012-09-15 00:00:00	101	251522	25	160	25	\N	0	197168	91	0	0	25	0	25	1	136283	1	25	201209	2012-09-15 00:00:00	10001	41934175	14655321	33	197168	21626273	TAH_INV
56043876	1	TAHSILAT	2013-04-08 00:00:00	2013-04-08 00:00:00	101	251522	320	160	320	\N	0	197168	91	0	0	320	0	320	1	136283	1	320	201303	2013-04-08 00:00:00	10001	56043876	16209510	33	197168	23181654	TAH_INV
52728676	1	TAHSILAT	2013-05-24 00:00:00	2013-05-24 00:00:00	101	251522	275	160	275	\N	0	197168	91	0	0	275	0	275	1	136283	1	275	201304	2013-05-24 00:00:00	10001	52728676	16435067	33	197168	23407379	TAH_INV
43083813	1	TAHSILAT	2013-07-16 00:00:00	2013-07-16 00:00:00	101	251522	145	160	145	\N	0	197168	91	0	0	145	0	145	1	136283	1	145	201305	2013-07-16 00:00:00	10001	43083813	16547588	32	197168	23519962	TAH_INV
44081513	1	TAHSILAT	2014-01-24 00:00:00	2014-01-24 00:00:00	101	251522	440	160	440	\N	0	197168	91	0	0	440	0	440	1	136283	1	440	201401	2014-01-24 00:00:00	10001	44081513	18091151	33	197168	25064724	TAH_INV
53491025	1	TAHSILAT	2013-12-30 00:00:00	2013-12-30 00:00:00	101	251522	340	160	340	\N	0	197168	91	0	0	340	0	340	1	136283	1	340	201312	2013-12-30 00:00:00	10001	53491025	18186808	32	197168	25160450	TAH_INV
59431866	1	TAHSILAT	2014-07-24 00:00:00	2014-07-24 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201407	2014-07-24 00:00:00	10001	59431866	20129070	32	197168	27104106	TAH_INV
50962692	1	TAHSILAT	2015-02-23 00:00:00	2015-02-23 00:00:00	101	251522	580	160	580	\N	0	197168	91	0	0	580	0	580	1	136283	1	580	201501	2015-02-23 00:00:00	10001	50962692	21691018	32	197168	28667150	TAH_INV
45779139	1	TAHSILAT	2015-03-16 00:00:00	2015-03-16 00:00:00	101	251522	495	160	495	\N	0	197168	91	0	0	495	0	495	1	136283	1	495	201502	2015-03-16 00:00:00	10001	45779139	21994622	32	197168	28970899	TAH_INV
49535817	1	TAHSILAT	2016-03-08 00:00:00	2016-03-08 00:00:00	101	251522	510	160	510	\N	0	197168	91	0	0	510	0	510	1	136283	1	510	201602	2016-03-08 00:00:00	10001	49535817	25559732	32	197168	32538207	TAH_INV
66713075	1	TAHSILAT	2016-12-14 10:15:23	2016-12-14 10:15:23	101	251522	10	160	10	\N	0	197168	91	0	0	10	0	10	1	136283	1	10	201610	2016-12-14 10:15:23	10800	66713075	28602880	32	197168	65444724	TAH_INV
