LOG_ID	REASON	SEVERITY	PAY_LREF	MAIN_LREF	ACCOUNT_ID	AGREEMENT_ID	ACTION_TYPE_ID	PAYABLETOTAL	PAID_AMT	DETAIL	OV_KIND
63	PAY_NO_ALLOC	WARN	39317602	\N	8463169	2221	4	5790	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
64	PAY_NO_ALLOC	WARN	39552178	\N	9000719	2221	4	4600	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
65	PAY_NO_ALLOC	WARN	40146596	\N	10277365	2221	4	3200	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
66	PAY_NO_ALLOC	WARN	40316018	\N	10587244	2221	4	7000	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
67	PAY_NO_ALLOC	WARN	40507310	\N	11032365	2221	4	4755	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
68	PAY_NO_ALLOC	WARN	40592707	\N	11309611	2221	4	3475	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
69	PAY_NO_ALLOC	WARN	41127240	\N	12414485	2221	4	6750	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
70	PAY_NO_ALLOC	WARN	41221981	\N	12708975	2221	4	6610	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
71	PAY_NO_ALLOC	WARN	41419840	\N	13163455	2221	4	8000	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
72	PAY_NO_ALLOC	WARN	41609034	\N	13497095	2221	4	4225	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
73	PAY_NO_ALLOC	WARN	42073277	\N	14522177	197168	22	25	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
74	PAY_NO_ALLOC	WARN	45320600	\N	21990249	5727	32	290	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
75	PAY_NO_ALLOC	WARN	48237020	\N	12932039	2221	4	8000	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
76	PAY_NO_ALLOC	WARN	50204405	\N	21407069	197168	32	45	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
77	PAY_NO_ALLOC	WARN	52246083	\N	8658864	2221	4	7300	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
