MAIN_LREF	PAID_AMT	ABYS_AGREEMENT_ID	CLOSED
23658959	45	5727	1
49750245	0.42	276503	1
11635452	25	5727	1
8732880	14.07	5727	1
16194265	85	197168	1
20841769	10	5727	1
23973811	10	5727	1
10412105	8520.95	2221	1
11149661	95	5727	1
17323170	625	2221	0
21192486	25	276503	1
29707101	265	5727	1
14114902	7917.36	2221	1
57882013	1.27	276503	1
30926441	15	197168	1
19970087	425	197168	1
19733171	286.96	276503	1
20622609	98.05	276503	1
65467491	10	5727	1
67902943	60	556305	1
69297657	374	197168	1
71230971	3	2221	1
72656434	22	556305	1
71335421	5	5727	1
72927245	5	5727	1
73605829	30	5727	1
75006369	203	5727	1
78295649	45	197168	1
81573650	19	197168	1
84902077	8528	2221	1
88007183	7	5727	1
88731259	7	5727	1
89447182	3	5727	1
92120956	13257	2221	1
92309547	1.77	197168	1
92309488	1.77	197168	1
92309493	1.77	197168	1
92309501	1.77	197168	1
92309500	1.77	197168	1
92309517	1.77	197168	1
92854940	14511	2221	1
93573510	10487	2221	1
94494041	376	5727	1
100168718	9704	2221	1
108486635	88	5727	1
109807619	23677	2221	1
110593781	29658	2221	1
112538887	747	197168	1
117645726	21181	2221	1
119640357	1804	197168	1
121165384	382.4	5727	1
127344840	50362	2221	1
129186399	719	5727	1
128574191	16366	978259	1
131353294	2412	2221	1
133123516	191	197168	1
134066626	18.29	5727	1
134685613	66	5727	1
136519883	1441	5727	1
134937001	16420	978259	1
135631816	14895	978259	1
137446027	22398	978259	1
139027518	6539	197168	1
140727243	1581	197168	1
141318603	2180	2221	1
141719005	21085	978259	1
144737035	3043	2221	1
147429677	112490	2221	1
151022101	3778	1192595	1
152086341	731	197168	1
152185118	12546.92	978259	0
800107	41.45	276503	1
8445999	6508.73	2221	1
8920115	6.94	5727	1
8848315	4.68	5727	1
9059684	4163.62	2221	1
9869048	117	5727	1
11388380	35	5727	1
13187241	30	5727	1
15532829	250	197168	1
18854686	5	276503	1
18817355	5	5727	1
20945845	10	2221	1
21490781	20	5727	1
21904363	20	197168	1
22138057	25	197168	1
22434925	150	5727	1
22906183	195	2221	1
26777924	20	197168	1
31515119	90	5727	1
32162037	1325	2221	1
8284140	12.63	5727	1
19416969	110	276503	1
16885098	25	197168	1
18746477	20	197168	1
16531261	55	197168	1
17122804	15	5727	1
24002032	20	197168	1
22791024	185	5727	1
8986869	18.15	5727	1
14120919	120	5727	1
21457177	45	276503	1
53449604	3.27	276503	1
14698308	30	197168	1
18752011	6.66	5727	1
10690396	1075	2221	1
12471001	5785	2221	1
11895030	15	5727	1
20360857	160.86	276503	1
65444724	10	197168	1
67283928	214.17	5727	1
67993065	466	197168	1
70602777	264	2221	1
73678924	68	197168	1
74759654	140	197168	1
77066527	33	5727	1
77240165	4513	2221	1
79214745	18	197168	1
82302492	267	197168	1
88830962	21	197168	1
90683821	183	2221	1
90953225	82	197168	1
91679380	480	197168	1
92309503	1.77	197168	1
92309529	1.77	197168	1
92309521	1.77	197168	1
101965969	644	197168	1
101651097	11226	2221	1
103389798	417	5727	1
104226580	231	197168	1
107720719	24	5727	1
107841891	343	197168	1
108239156	5786	2221	1
109425605	662	197168	1
109316899	405	5727	1
113322123	432	197168	1
113913297	40	5727	1
115480171	12	5727	1
116046328	12	2221	1
122868581	243.47	197168	1
123745231	305.05	197168	1
124936983	110	197168	1
125977376	228	5727	1
126500891	35688	2221	1
131565392	43	5727	1
132364821	29	5727	1
133183045	16.76	5727	1
133886188	179	197168	1
140857447	23987	978259	1
144022195	244	197168	1
146492715	58543	2221	1
147465425	3154	1192595	1
148481098	1981	5727	1
150137679	3963	1192595	1
151036009	41290.64	2221	1
149522491	104711	978259	1
702889	11	276503	1
35356493	2520	2221	1
8747460	3522.65	2221	1
9188523	72	5727	1
9176030	4449	2221	1
10136864	25	5727	1
10231358	15	5727	1
10496981	10	5727	1
10600902	15	5727	1
11266318	70	5727	1
11406713	2395	2221	1
12325178	8163.6	2221	1
14561532	20	2221	1
14760594	5	5727	1
15160318	25.16	5727	1
17553766	755	2221	0
20694535	70	197168	1
21426018	1.03	276503	1
42385083	0.07	276503	1
22895424	7810	2221	1
22976660	150	5727	1
23376350	2050	2221	1
26680945	765	2221	1
26044775	340	197168	1
28775238	10615	2221	1
29413665	460	197168	1
29649291	7550	2221	1
31518726	150	197168	1
32966836	165	5727	1
33124498	275	197168	1
10794377	65	5727	1
21096102	25	276503	1
27537193	15	197168	1
28553463	215	5727	1
22636570	295	197168	1
28667150	580	197168	1
17776829	390	197168	1
19444984	300.1	197168	1
23407379	275	197168	1
12184090	7615	2221	1
16354161	25	197168	1
24347929	25	197168	1
15772737	200	2221	0
23181654	320	197168	1
26580179	105	197168	1
8882864	3.36	5727	1
26911014	55	2221	1
10452236	0.54	2221	1
30306401	10	5727	1
9069351	74	5727	1
16630400	5	5727	1
18849256	15	197168	1
8329000	6.46	5727	1
63947404	38.52	197168	1
66812877	197	5727	1
66128022	225	197168	1
68719168	7	556305	1
68180301	369	2221	1
69345062	63	556305	1
70137062	36	2221	1
72340926	16	197168	1
75074556	251	197168	1
76972166	230.46	5727	1
77128033	300	197168	1
78529430	1	197168	1
80772656	6	5727	1
83011563	444	197168	1
83648501	340	5727	1
85089463	170	5727	1
85180210	367	197168	1
86634880	94	197168	1
87318728	17	5727	1
90161952	16	5727	1
92325853	400	5727	1
92309479	1.77	197168	1
92309473	1.77	197168	1
92309483	1.77	197168	1
92309498	1.77	197168	1
92309531	1.77	197168	1
92309524	1.77	197168	1
94545194	598	197168	1
96746116	32	197168	1
98285947	17	5727	1
98863189	29	5727	1
99410905	2450	2221	1
99705474	236	197168	1
101888739	386	5727	1
102641506	396	5727	1
106310273	53	197168	1
106246224	6	5727	1
108633830	511	197168	1
109014555	14751	2221	1
110838644	577	5727	1
112918097	14685	2221	1
113667562	499	2221	1
114044960	138	197168	1
118040451	908	197168	1
117858069	35	5727	1
118804401	1436	197168	1
119304775	51570	2221	1
120468886	2183	197168	1
120114376	58737	2221	1
124348687	2121	978259	1
125993012	552	197168	1
127519977	868	5727	1
129788411	26067	2221	1
129986461	1051	197168	1
130567949	13108	2221	1
131588285	317	197168	1
133171949	15030	978259	1
136647173	21532	978259	1
139208499	1469.63	5727	1
139890369	2582	197168	1
144242474	77900.7	978259	1
147588523	5762	197168	1
148325505	97417	2221	1
149240293	2779	1192595	1
150333008	41390	978259	1
151139409	255	5727	1
8610521	48.18	5727	1
8449236	0.38	5727	1
8371893	652.97	2221	1
8489418	15.95	5727	1
9119750	4453	2221	1
9385849	12	5727	1
12700222	108.94	2221	1
13761364	150	5727	1
15421141	435	2221	0
16894775	10	5727	1
17004731	35	5727	1
18224085	70	5727	1
18485369	20	197168	1
20515715	180	197168	1
20659795	65	2221	1
22519405	230	5727	1
23715324	25	197168	1
24215190	5	5727	1
25020790	55	5727	1
28289135	2245	2221	1
31975263	5615	2221	1
32835328	4475	2221	1
47900035	2.54	276503	1
8151321	36.49	5727	1
24646736	20	197168	1
19652037	335	197168	1
16027508	225	197168	1
33677718	10	197168	1
25160450	340	197168	1
15245869	30	5727	1
19466120	5	5727	1
22067463	5665	2221	1
9323798	18	5727	1
13817055	12253.68	2221	1
17709010	285	197168	1
10418014	30.21	5727	1
14583330	35	5727	1
18380133	115	197168	1
26245248	3580	2221	1
28371521	60	5727	1
20133086	385.44	276503	1
64850019	5	5727	1
33700348	105	2221	1
66138633	107	5727	1
68716415	246	5727	1
68618148	3523	2221	1
69972395	76	197168	1
70642390	17	197168	1
70879854	426	2221	1
69265348	5648	2221	1
70010981	46	5727	1
72277443	2	5727	1
75689499	231	5727	1
76442207	324	197168	1
78674834	1	2221	1
80175949	28	197168	1
80614935	6	2221	1
80843586	28	197168	1
82012151	237	2221	1
81496688	12	5727	1
82203936	51	5727	1
85624309	6438	2221	1
86489417	3135	2221	1
87125336	2	2221	1
90874659	19	5727	1
91594295	241	5727	1
92309477	1.77	197168	1
92309492	1.77	197168	1
92309494	1.77	197168	1
92309496	1.77	197168	1
92309506	1.77	197168	1
92309514	1.77	197168	1
93121943	1026	197168	1
99631452	120	5727	1
104187489	80	5727	1
111016285	966	197168	1
111614273	525	5727	1
112397733	549	5727	1
116352161	149	197168	1
116418945	20	5727	1
122548063	1259.63	978259	1
123656947	14	5727	1
125344447	5863	978259	1
125482642	203	197168	1
126748999	1623	197168	1
126726479	998	5727	1
128352010	4198	197168	1
129268614	9261	978259	1
130798337	942	197168	1
130791153	66	5727	1
131028667	16789	978259	1
136180691	57875	2221	1
136420759	5227	197168	1
139800297	414	5727	1
146685704	3571	197168	1
148499515	4826	197168	1
148388261	3554	1192595	1
35315773	30	5727	1
10407024	2730.67	2221	1
36094466	11.78	2221	1
8791067	4325.91	2221	1
9013984	2389.35	2221	1
9259730	67	5727	1
10334836	20	5727	1
10912442	125	5727	1
13016899	15	5727	1
13357279	40	5727	1
14252255	95	5727	1
14416212	45	5727	1
15297465	176	2221	0
17781948	135	5727	1
20467009	1000	2221	0
24977311	7410	2221	1
25064724	440	197168	1
26059951	115	5727	1
27056938	30	5727	1
31933947	230	5727	1
21781791	150	197168	1
26092650	5600	2221	1
20811205	11.6	276503	1
21376976	5	276503	1
11159808	4990	2221	1
16448424	15	5727	1
19786626	10	5727	1
22032972	20	5727	1
16289376	15	2221	1
12045453	5225	2221	1
30925526	5	5727	1
22378062	11065	2221	1
31997813	265	197168	1
55097221	4.39	2221	1
15910125	95	5727	1
22792172	4410	2221	1
12910631	765	2221	1
19131774	10	276503	1
9961367	80	5727	1
15413939	80	5727	1
56773537	2.12	276503	1
31080428	5	5727	1
9232517	3510	2221	1
29684250	375	197168	1
26235680	240	197168	1
17149298	250	2221	0
32468365	7075	2221	1
19701495	99.23	276503	0
66710690	7227	2221	1
67384158	10794	2221	1
66772613	389	197168	1
69351575	137	5727	1
70029379	41	556305	1
71283487	19	197168	1
71728612	10	197168	1
73159848	11.7	556305	1
75171084	6776	2221	1
76531483	7506	2221	1
83734437	637	197168	1
84463715	441	197168	1
90222938	23	197168	1
92309490	1.77	197168	1
92309504	1.77	197168	1
92309505	1.77	197168	1
92309523	1.77	197168	1
92309516	1.77	197168	1
92309530	1.77	197168	1
93776833	239	5727	1
98195550	63	197168	1
110064090	471	5727	1
110275254	1135	197168	1
111782800	1089	197168	1
114707969	18	5727	1
115573544	128	197168	1
118470921	36973	2221	1
119566453	580	5727	1
121981658	444	5727	1
124373195	14.64	197168	1
124873329	2836	978259	1
129190688	1895	197168	1
138206822	18405	978259	1
140463633	31452	2221	1
143222716	267	197168	1
144923960	1231	197168	1
145833573	2251	197168	1
146570430	3246.49	1192595	1
145019688	28962	978259	1
150404069	1653	5727	1
107487234	0	2221	1
76362164	0	197168	1
14341998	0	197168	1
24624132	0	2221	1
8371869	0	5727	1
88527658	0	2221	1
8226974	0	2221	1
68041180	0	556305	1
79384540	0	2221	1
123489285	0	2221	1
71869965	0	2221	1
143861805	0	2221	1
150360026	0	2221	1
8823488	0	2221	1
105353369	0	2221	1
73093647	0	2221	1
33352819	0	2221	1
31980616	0	197168	1
125375133	0	5727	1
13331546	0	2221	1
21798480	0	2221	1
8437594	0	2221	1
9370874	0	2221	1
72431493	0	2221	1
122464379	0	5727	1
142143893	0	2221	1
14733478	0	2221	1
143041997	0	2221	1
21985260	0	276503	1
134492436	0	2221	1
83049497	0	197168	1
8265025	0	2221	1
24530145	0	5727	1
14607751	0	2221	1
8905322	0	2221	1
13173096	0	2221	1
64239281	0	2221	1
27040414	0	2221	1
23336403	0	2221	1
8521622	0	2221	1
8385536	0	2221	1
18667570	0	2221	1
13159919	0	2221	1
8869030	0	2221	1
19175366	0	5727	1
87803795	0	2221	1
65403832	0	2221	1
13482062	0	2221	1
21889737	0	276503	1
78295700	0	197168	1
18898563	0	5727	1
132906715	0	2221	1
89247325	0	2221	1
14933566	0	2221	1
114573104	0	2221	1
64793798	0	2221	1
150477717	0	5727	1
18374196	0	2221	1
10562687	0	2221	1
8707801	0	2221	1
122336922	0	2221	1
14800961	0	2221	1
16723756	0	2221	1
122868574	0	197168	1
152018225	0	5727	1
8311026	0	2221	1
18978151	0	2221	1
21894450	0	2221	1
106742510	0	2221	1
27928081	0	2221	1
144270010	0	978259	1
11793899	0	2221	1
14507777	0	197168	1
20564844	0	5727	1
116851007	0	2221	1
11527045	0	2221	1
81290308	0	2221	1
24935439	0	5727	1
97911535	0	2221	1
114945550	0	2221	1
125834736	0	2221	1
8565303	0	5727	1
124280229	0	2221	1
13041438	0	2221	1
95658410	0	2221	1
132138860	0	2221	1
152066395	0	1192595	1
28234481	0	197168	1
152215477	0	978259	1
11691333	0	2221	1
65670411	0	2221	1
21177237	0	2221	1
98665560	0	2221	1
16496701	0	2221	1
10456684	0	2221	1
79932151	0	2221	1
19104449	0	2221	1
19042093	0	2221	1
133647595	0	2221	1
20792013	0	2221	1
8934887	0	2221	1
125234425	0	2221	1
27372185	0	2221	1
97185192	0	2221	1
122536227	0	197168	1
21394629	0	2221	1
124857132	0	5727	1
24185285	0	2221	1
124703535	0	2221	1
122948181	0	978259	1
10305141	0	2221	1
