LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER	ALLOC_RN	PAY_FULL_AMT	ALLOC_SRC
44757528	44757528	101	1	27056938	174	113	103	0	2014-09-18 00:00:00	30	0	0	0	6879	44757528	20081931	5727	27056938	33	PAY	\N	\N	538	918100142477589	1	30	INCOME
44763880	44763880	101	1	27068043	174	113	103	0	2014-09-18 00:00:00	0.41	0	0	0	6879	44763880	20093027	5727	27068043	33	PAY	\N	\N	538	918100219439242	1	0.41	INCOME
45115236	45115236	101	1	27952493	174	113	103	0	2014-12-01 00:00:00	5	0	0	0	6879	45115236	20976791	5727	27952493	32	PAY	\N	\N	530	2014000185351637	1	5	INCOME
45149432	45149432	101	1	28077379	174	113	103	0	2014-11-20 00:00:00	20	0	0	0	251522	45149432	21101581	197168	28077379	32	PAY	\N	\N	519	12280634	1	20	INCOME
45158412	45158412	101	1	28289135	174	113	103	0	2014-12-16 00:00:00	2245	0	0	0	48214	45158412	21313215	2221	28289135	32	PAY	\N	\N	544	626493319	1	2245	INCOME
45288648	45288648	101	1	28350953	174	113	103	0	2014-12-18 00:00:00	135	0	0	0	251522	45288648	21375002	197168	28350953	32	PAY	\N	\N	519	12881076	1	135	INCOME
45330877	45330877	101	1	28775238	174	113	103	0	2015-02-19 00:00:00	10615	0	0	0	48214	45330877	21799055	2221	28775238	32	PAY	\N	\N	544	648541925	1	10615	INCOME
45368645	45368645	101	1	29159287	174	113	103	0	2015-03-23 00:00:00	285	0	0	0	6879	45368645	22182917	5727	29159287	32	PAY	\N	\N	530	2015000139964204	1	285	INCOME
45545113	45545113	101	1	29412473	174	113	103	0	2015-04-27 00:00:00	6995	0	0	0	48214	45545113	22435967	2221	29412473	32	PAY	\N	\N	544	672753121	1	6995	INCOME
45649421	45649421	101	1	28770504	174	113	103	0	2015-01-27 00:00:00	355	0	0	0	6879	45649421	21794326	5727	28770504	32	PAY	\N	\N	530	2015000035497977	1	355	INCOME
45695188	45695188	101	1	28917146	174	113	103	0	2015-03-23 00:00:00	6945	0	0	0	48214	45695188	21940891	2221	28917146	32	PAY	\N	\N	544	660110835	1	6945	INCOME
45779139	45779139	101	1	28970899	174	113	103	0	2015-03-16 00:00:00	495	0	0	0	251522	45779139	21994622	197168	28970899	32	PAY	\N	\N	521	11707926607	1	495	INCOME
45825012	45825012	101	1	29413665	174	113	103	0	2015-04-07 00:00:00	460	0	0	0	251522	45825012	22437159	197168	29413665	32	PAY	\N	\N	521	11872257821	1	460	INCOME
45927793	45927793	101	1	29843782	174	113	103	0	2015-06-15 00:00:00	68.2	0	0	0	6879	45927793	22867072	5727	29843782	32	PAY	\N	\N	530	2015000316148563	1	68.2	INCOME
46078816	46078816	101	1	30248737	174	113	103	0	2015-06-25 00:00:00	15	0	0	0	6879	46078816	23271817	5727	30248737	32	PAY	\N	\N	544	694610075	1	15	INCOME
46454345	46454345	101	1	31078567	174	113	103	0	2015-09-28 00:00:00	10	0	0	0	251522	46454345	24101103	197168	31078567	32	PAY	\N	\N	521	13103889578	1	10	INCOME
46584583	46584583	101	1	29649291	174	113	103	0	2015-10-13 00:00:00	7550	0	0	0	48214	46584583	22672687	2221	29649291	32	PAY	\N	\N	544	738445862	1	7550	INCOME
